SUJETO,P1,P2,P3,P4,P5,TIPO DE P,,SUJETO,P1,P2,P3,P4,TIPO DE P
1,Banda,Grupo Frontera,A diario,Reggaetón,Bad Bunny,NS,,1,Banda,Bad Bunny,Fiestas,Diles,S
2,Rap,Alemán,A diario,Rock,Bring me the horizon,NS,,2,Pop,Bad Bunny,Fiestas,Neverita,S
3,Banda,Banda MS,Casi Diario,Reggaetón,Feid,NS,,3,Banda,El Recodo,Tareas,La larga sagrada,S
4,Reggaetón,Bad Bunny,A diario,Rap,Doble Porción,NS,,4,Banda,Bad Bunny,Fiestas,Neverita,S
5,Reggaetón,Mora,Casi Diario,Banda,Fuerza Regida,NS,,5,Reggaetón,Bad Bunny,Fiestas,La Santa,S
6,Techno,Amelie Lens,A diario,Trap,3 Anime,NS,,6,Banda,El Recodo,Fiestas,La agitadilla,S
7,Corridos,Natanael Cano,A diario,Reggaetón,Bad Bunny,NS,,7,Reggaetón,Bad Bunny,Fiestas,Bichiyal,S
8,Reggaetón,Plan B,A diario,Trova,Silvio Rodríguez,NS,,8,Reggaetón,Bad Bunny,Fiestas,Tarot,S
9,Rap,Rels B,A diario,Rock,Caifanes,NS,,9,Pop,Bad Bunny,Fiestas,Un polvo,S
10,Hip Hop,50 Cent,A diario,Reggae,Godwanna,NS,,10,Banda,El Recodo,Fiestas,S/R,S
11,Trova,Joaquín Sabina,A diario,Rap,Alvaro Diaz,NS,,11,Pop,Bad Bunny,Fiestas,Safaera,S
12,Bachata,Romeo Santos,Casi Diario,Reggaetón,Plan B,NS,,12,Reggaetón,Bad Bunny,Fiestas,La Canción,S
13,Reggaetón,Mora,A diario,Banda,Fuerza Regida,NS,,13,Pop,Bad Bunny,Fiestas,Un Porciento,S
14,Banda,Grupo Frontera,A diario,Reggaetón,Bad Bunny,NS,,14,Banda,El Recodo,Tareas,S/R,S
15,Corridos,Natanael Cano,A diario,Reggaetón,Bad Bunny,NS,,15,Pop,Bad Bunny,Fiestas,120,S
16,Techno,Amelie Lens,A diario,Trap,Lil Peep,NS,,16,Pop,Belanova,Tareas,Rosa Pastel,S
17,Reggaetón,Mora,Casi Diario,Rap,Doble Porción,NS,,17,Pop,Bad Bunny,Fiestas,S/R,S
18,Banda,Banda MS,Casi Diario,Reggaetón,Feid,NS,,18,Pop,Belanova,Tareas,Rosa Pastel,S
19,Reggaetón,Feid,A diario,Rap,Alemán,NS,,19,Banda,Bad Bunny,Ejercicio,Estamos Bien,S
20,Reggaetón,Bad Bunny,A diario,Rap,Doble Porción,NS,,20,Reggaetón,Bad Bunny,Ejercicio,Chambea,S
