Individuo ,Pregunta 1,Pregunta 2,Pregunta 3,Pregunta 4,Calidad de encuesta
1,b,c,a,a,NT
2,d,c,b,c,NT
3,a,b,a,b,NT
4,d,b,a,a,NT
5,c,b,b,c,NT
6,d,a,a,b,NT
7,b,c,a,a,NT
8,d,a,b,a,NT
9,c,b,a,a,NT
10,d,a,a,b,NT
11,b,b,a,a,NT
12,d,a,a,b,NT
13,b,a,a,b,NT
14,b,c,a,b,NT
15,c,c,a,c,NT
16,c,b,a,a,NT
17,b,b,a,b,NT
18,d,a,a,a,NT
19,d,c,a,b,NT
20,a,c,a,c,NT
21,a,a,a,a,T
22,b,b,a,a,T
23,b,b,a,c,T
24,d,c,a,b,T
25,b,b,a,a,T
26,a,a,a,b,T
27,b,b,a,b,T
28,d,c,a,b,T
29,d,a,a,a,T
30,c,a,a,a,T
31,b,b,a,b,T
32,d,c,a,a,T
33,b,b,a,a,T
34,b,c,a,a,T
35,a,b,a,c,T
36,b,a,a,b,T
37,a,b,a,b,T
38,a,a,a,b,T
39,b,a,a,b,T
40,b,b,a,b,T
,,,,,
