,P1,P2,P3,sesgada 
individuo 1,1,1,1,1
individuo 2,1,1,1,1
individuo 3,1,1,1,1
individuo 4,1,1,1,1
individuo 5,1,1,1,1
individuo 6,1,1,1,1
individuo 7,1,1,1,1
individuo 8,1,1,1,1
individuo 9,1,1,1,1
individuo 10,1,1,1,1
individuo 11,1,1,1,1
individuo 12,1,1,1,1
individuo 13,1,1,1,1
individuo 14,1,0,1,1
individuo 15,1,0,1,1
individuo 16,1,0,1,1
individuo 17,1,0,0,1
individuo 18,1,0,0,1
individuo 19,0,0,0,1
individuo 20,0,0,0,1
individuo 21,1,1,1,0
individuo 22,1,1,1,0
individuo 23,1,1,0,0
individuo 24,1,1,0,0
individuo 25,1,1,0,0
individuo 26,1,1,0,0
individuo 27,1,1,1,0
individuo 28,1,1,1,0
individuo 29,1,1,1,0
individuo 30,1,1,1,0
individuo 31,1,1,1,0
individuo 32,1,1,1,0
individuo 33,1,1,1,0
individuo 34,1,1,1,0
individuo 35,0,1,1,0
individuo 36,0,1,1,0
individuo 37,0,0,1,0
individuo 38,0,0,1,0
individuo 39,0,0,1,0
individuo 40,0,0,1,0
