sujeto,Qst1,Qst2,Qst3,Type Anw
1,b),a),a),S
2,b),a),a),S
3,b),a),b),S
4,c),b),b),S
5,b),a),d),S
6,c),a),d),S
7,c),a),d),S
8,c),a),d),S
9,b),b),c),S
10,c),a),c),S
11,b),a),b),S
12,b),a),c),S
13,b),a),b),S
14,b),a),b),S
15,b),a),b),S
16,b),a),b),S
17,c),a),b),S
18,a),a),b),S
19,a),a),c),S
20,c),b),c),S
21,b),a),b),NS
22,a),a),d),NS
23,a),b),a),NS
24,b),a),b),NS
25,c),a),d),NS
26,c),a),b),NS
27,c),b),d),NS
28,c),b),a),NS
29,c),b),b),NS
30,c),b),c),NS
31,c),a),a),NS
32,b),b),b),NS
33,c),b),c),NS
34,a),a),a),NS
35,c),b),b),NS
36,b),a),b),NS
37,b),a),b),NS
38,a),a),a),NS
39,a),a),c),NS
40,a),b),b),NS
