Individuo,P1,P2,P3,Calidad
1,No,A,Si,T
2,Si,A,Si,T
3,Si,A,Si,T
4,No,A,Si,T
5,Si,A,Si,T
6,Si,A,Si,T
7,Si,A,Si,T
8,Si,A,Si,T
9,No,A,Si,T
10,Si,A,No,T
11,Si,A,Si,T
12,Si,A,Si,T
13,No,A,Si,T
14,No,A,Si,T
15,Si,A,Si,T
16,No,A,No,T
17,Si,A,Si,T
18,No,A,Si,T
19,Si,A,Si,T
20,Si,A,Si,T
21,No,A,Si,NT
22,No,D,Si,NT
23,Si,A,No,NT
24,Si,A,Si,NT
25,Si,D,No,NT
26,Si,D,No,NT
27,No,A,No,NT
28,Si,A,Si,NT
29,No,A,Si,NT
30,Si,D,Si,NT
31,Si,A,Si,NT
32,No,A,Si,NT
33,Si,D,Si,NT
34,Si,A,Si,NT
35,Si,A,Si,NT
36,No,A,Si,NT
37,Si,A,No,NT
38,Si,A,Si,NT
39,Si,A,Si,NT
40,Si,A,Si,NT
