Pregunta 1,Pregunta 2,Pregunta 3,Tipo de pregunta
a),c),a),NS
b),b),a),S
a),b),c),S
b),b),b),S
c),b),a),S
a),b),a),S
b),c),b),NS
b),b),b),NS
b),b),b),NS
b),b),c),NS
a),b),a),S
a),b),a),S
b),a),b),S
c),c),b),S
c),c),c),S
a),a),a),NS
a),b),b),NS
b),b),b),NS
b),b),b),NS
b),c),c),NS
b),b),c),NS
c),b),b),NS
a),c),c),NS
a),b),a),NS
a),c),a),NS
b),b),b),NS
b),b),a),NS
c),b),b),NS
b),b),a),S
b),b),b),S
b),b),a),S
c),b),b),S
a),b),a),S
b),b),b),S
b),b),c),S
a),c),b),S
b),b),a),S
a),c),a),S
a),c),b),NS
b),b),b),NS
