Individuo,P1,P2,P3,Segasgada
1,c),b),b),Si
2,c),c),a),Si
3,c),c),a),Si
4,c),a),a),Si
5,c),a),a),Si
6,a),c),b),Si
7,c),b),a),Si
8,a),c),a),Si
9,c),a),a),Si
10,b),b),b),Si
11,b),a),a),Si
12,c),a),a),Si
13,c),c),a),Si
14,c),a),a),Si
15,c),a),a),Si
16,c),b),b),Si
17,c),a),a),Si
18,c),c),b),Si
19,c),a),a),Si
20,c),c),a),Si
21,a),b),a),No
22,a),a),c),No
23,d),e),b),No
24,c),a),f),No
25,b),c),b),No
26,a),h),d),No
27,b),f),c),No
28,d),a),b),No
29,c),a),c),No
30,d),a),e),No
31,b),b),d),No
32,d),g),c),No
33,c),b),b),No
34,d),d),c),No
35,e),c),c),No
36,e),a),b),No
37,d),a),c),No
38,d),d),b),No
39,e),c),b),No
40,b),a),c),No
