individuo ,P1,P2,P3,Calidad 
1,1,c),b),NS
2,2,c),b),NS
3,2,d),b),NS
4,0,c),b),NS
5,1,b),b),NS
6,2,e),b),NS
7,0,e),b),NS
8,0,c),b),NS
9,0,c),a),NS
10,7,e),b),NS
11,7,b),b),NS
12,0,e),a),NS
13,0,e),b),NS
14,2,a),b),NS
15,2,c),b),NS
16,3,b),b),NS
17,1,e),a),NS
18,4,d),b),NS
19,3,a),b),NS
20,3,a),b),NS
21,7,a),b),S
22,4,b),b),S
23,3,c),b),S
24,4,b),b),S
25,5,e),b),S
26,3,b),a),S
27,7,c),b),S
28,0,c),a),S
29,2,d),b),S
30,1,e),b),S
31,3,d),b),S
32,1,d),b),S
33,3,d),a),S
34,2,d),b),S
35,1,e),b),S
36,2,d),b),S
37,0,b),b),S
38,1,e),b),S
39,6,e),b),S
40,3,e),b),S
