Prueba,Litros Crabby,,Prueba,Litros Great Value
1,0.6319875,,1,6.4064875
2,0.9865,,2,5.9949
3,0.631275,,3,6.006775
4,0.60643625,,4,5.49386625
5,0.5065,,5,4.0068
6,0.69403125,,6,3.90634375
7,0.75535,,7,5.80955
8,0.5683875,,8,4.2060625
9,0.759325,,9,3.6077
10,0.6312875,,10,5.4059875
11,0.63185,,11,6.305825
12,0.56783125,,12,4.105675
13,0.69406875,,13,4.306975
14,0.63025,,14,3.807325
15,0.7557,,15,3.905225
16,1.1133,,16,4.0883875
17,0.75835,,17,5.605375
18,0.56835,,18,4.30528125
19,0.630675,,19,5.1054
20,0.6301125,,20,5.0050125
