,etnia,nivel_educativo_de_los_padres,tipo_de_comida,curso_de_preparación_para_el_examen,porcentaje_de_matematicas,porcentaje_de_lectura,porcentaje_de_escritura,sexo
0,group_B,licenciatura,estandar,nada,0.72,0.72,0.74,mujer
1,group_C,algo_de_universidad,estandar,completado,0.69,0.9,0.88,mujer
2,group_B,maestria,estandar,nada,0.9,0.95,0.93,mujer
3,group_A,tecnico_asociado,subsidiado,nada,0.47,0.57,0.44,hombre
4,group_C,algo_de_universidad,estandar,nada,0.76,0.78,0.75,hombre
5,group_B,tecnico_asociado,estandar,nada,0.71,0.83,0.78,mujer
6,group_B,algo_de_universidad,estandar,completado,0.88,0.95,0.92,mujer
7,group_B,algo_de_universidad,subsidiado,nada,0.4,0.43,0.39,hombre
8,group_D,preparatoria,subsidiado,completado,0.64,0.64,0.67,hombre
9,group_B,preparatoria,subsidiado,nada,0.38,0.6,0.5,mujer
10,group_C,tecnico_asociado,estandar,nada,0.58,0.54,0.52,hombre
11,group_D,tecnico_asociado,estandar,nada,0.4,0.52,0.43,hombre
12,group_B,preparatoria,estandar,nada,0.65,0.81,0.73,mujer
13,group_A,algo_de_universidad,estandar,completado,0.78,0.72,0.7,hombre
14,group_A,maestria,estandar,nada,0.5,0.53,0.58,mujer
15,group_C,algo_de_preparatoria,estandar,nada,0.69,0.75,0.78,mujer
16,group_C,preparatoria,estandar,nada,0.88,0.89,0.86,hombre
17,group_B,algo_de_preparatoria,subsidiado,nada,0.18,0.32,0.28,mujer
18,group_C,maestria,subsidiado,completado,0.46,0.42,0.46,hombre
19,group_C,tecnico_asociado,subsidiado,nada,0.54,0.58,0.61,mujer
20,group_D,preparatoria,estandar,nada,0.66,0.69,0.63,hombre
21,group_B,algo_de_universidad,subsidiado,completado,0.65,0.75,0.7,mujer
22,group_D,algo_de_universidad,estandar,nada,0.44,0.54,0.53,hombre
23,group_C,algo_de_preparatoria,estandar,nada,0.69,0.73,0.73,mujer
24,group_D,licenciatura,subsidiado,completado,0.74,0.71,0.8,hombre
25,group_A,maestria,subsidiado,nada,0.73,0.74,0.72,hombre
26,group_B,algo_de_universidad,estandar,nada,0.69,0.54,0.55,hombre
27,group_C,licenciatura,estandar,nada,0.67,0.69,0.75,mujer
28,group_C,preparatoria,estandar,nada,0.7,0.7,0.65,hombre
29,group_D,maestria,estandar,nada,0.62,0.7,0.75,mujer
30,group_D,algo_de_universidad,estandar,nada,0.69,0.74,0.74,mujer
31,group_B,algo_de_universidad,estandar,nada,0.63,0.65,0.61,mujer
32,group_E,maestria,subsidiado,nada,0.56,0.72,0.65,mujer
33,group_D,algo_de_universidad,estandar,nada,0.4,0.42,0.38,hombre
34,group_E,algo_de_universidad,estandar,nada,0.97,0.87,0.82,hombre
35,group_E,tecnico_asociado,estandar,completado,0.81,0.81,0.79,hombre
36,group_D,tecnico_asociado,estandar,nada,0.74,0.81,0.83,mujer
37,group_D,algo_de_preparatoria,subsidiado,nada,0.5,0.64,0.59,mujer
38,group_D,tecnico_asociado,subsidiado,completado,0.75,0.9,0.88,mujer
39,group_B,tecnico_asociado,subsidiado,nada,0.57,0.56,0.57,hombre
40,group_C,tecnico_asociado,subsidiado,nada,0.55,0.61,0.54,hombre
41,group_C,tecnico_asociado,estandar,nada,0.58,0.73,0.68,mujer
42,group_B,tecnico_asociado,estandar,nada,0.53,0.58,0.65,mujer
43,group_B,algo_de_universidad,subsidiado,completado,0.59,0.65,0.66,hombre
44,group_E,tecnico_asociado,subsidiado,nada,0.5,0.56,0.54,mujer
45,group_B,tecnico_asociado,estandar,nada,0.65,0.54,0.57,hombre
46,group_A,tecnico_asociado,estandar,completado,0.55,0.65,0.62,mujer
47,group_C,preparatoria,estandar,nada,0.66,0.71,0.76,mujer
48,group_D,tecnico_asociado,subsidiado,completado,0.57,0.74,0.76,mujer
49,group_C,preparatoria,estandar,completado,0.82,0.84,0.82,hombre
50,group_E,algo_de_universidad,estandar,nada,0.53,0.55,0.48,hombre
51,group_E,tecnico_asociado,subsidiado,completado,0.77,0.69,0.68,hombre
52,group_C,algo_de_universidad,estandar,nada,0.53,0.44,0.42,hombre
53,group_D,preparatoria,estandar,nada,0.88,0.78,0.75,hombre
54,group_C,algo_de_preparatoria,subsidiado,completado,0.71,0.84,0.87,mujer
55,group_C,preparatoria,subsidiado,nada,0.33,0.41,0.43,mujer
56,group_E,tecnico_asociado,estandar,completado,0.82,0.85,0.86,mujer
57,group_D,tecnico_asociado,estandar,nada,0.52,0.55,0.49,hombre
58,group_D,algo_de_universidad,estandar,completado,0.58,0.59,0.58,hombre
59,group_C,algo_de_preparatoria,subsidiado,nada,0.0,0.17,0.1,mujer
60,group_E,licenciatura,subsidiado,completado,0.79,0.74,0.72,hombre
61,group_A,algo_de_preparatoria,subsidiado,nada,0.39,0.39,0.34,hombre
62,group_A,tecnico_asociado,subsidiado,nada,0.62,0.61,0.55,hombre
63,group_C,tecnico_asociado,estandar,nada,0.69,0.8,0.71,mujer
64,group_D,algo_de_preparatoria,estandar,nada,0.59,0.58,0.59,mujer
65,group_B,algo_de_preparatoria,estandar,nada,0.67,0.64,0.61,hombre
66,group_D,algo_de_preparatoria,subsidiado,nada,0.45,0.37,0.37,hombre
67,group_C,algo_de_universidad,estandar,nada,0.6,0.72,0.74,mujer
68,group_B,tecnico_asociado,subsidiado,nada,0.61,0.58,0.56,hombre
69,group_C,tecnico_asociado,estandar,nada,0.39,0.64,0.57,mujer
70,group_D,algo_de_universidad,subsidiado,completado,0.58,0.63,0.73,mujer
71,group_D,algo_de_universidad,estandar,completado,0.63,0.55,0.63,hombre
72,group_A,tecnico_asociado,subsidiado,nada,0.41,0.51,0.48,mujer
73,group_C,algo_de_preparatoria,subsidiado,nada,0.61,0.57,0.56,hombre
74,group_C,algo_de_preparatoria,estandar,nada,0.49,0.49,0.41,hombre
75,group_B,tecnico_asociado,subsidiado,nada,0.44,0.41,0.38,hombre
76,group_E,algo_de_preparatoria,estandar,nada,0.3,0.26,0.22,hombre
77,group_A,licenciatura,estandar,completado,0.8,0.78,0.81,hombre
78,group_D,algo_de_preparatoria,estandar,completado,0.61,0.74,0.72,mujer
79,group_E,maestria,estandar,nada,0.62,0.68,0.68,mujer
80,group_B,tecnico_asociado,estandar,nada,0.47,0.49,0.5,mujer
81,group_B,preparatoria,subsidiado,nada,0.49,0.45,0.45,hombre
82,group_A,algo_de_universidad,subsidiado,completado,0.5,0.47,0.54,hombre
83,group_E,tecnico_asociado,estandar,nada,0.72,0.64,0.63,hombre
