horas_estudio,asistencia,participacion_parental,acceso_a_recursos,actividades_extracurriculares,horas_suenio,calificaciones_previas,nivel_motivacion,acceso_internet,sesiones_tutoria,ingreso_familiar,calidad_profesorado,tipo_escuela,influencia_companieros,actividad_fisica,discapacidad_aprendizaje,nivel_estudio_padres,distancia,genero,puntaje_examen
23,84,bajo,elevado,no,7,73,bajo,si,0,bajo,medio,publico,positivo,3,no,preparatoria,cercano,hombre,67
19,64,bajo,medio,no,8,59,bajo,si,2,medio,bajo,publico,negativo,4,no,universidad,moderado,mujer,61
24,98,medio,bajo,si,7,91,medio,si,2,medio,bajo,publico,neutral,4,no,posgrado,cercano,hombre,74
29,89,bajo,medio,si,8,98,medio,si,1,medio,bajo,publico,negativo,4,no,preparatoria,moderado,hombre,71
19,92,medio,bajo,si,6,65,medio,si,3,medio,elevado,publico,neutral,4,no,universidad,cercano,mujer,70
19,88,medio,bajo,si,8,89,medio,si,3,medio,bajo,publico,positivo,3,no,posgrado,cercano,hombre,71
29,84,medio,bajo,si,7,68,bajo,si,1,bajo,medio,privado,neutral,2,no,preparatoria,moderado,hombre,67
25,78,bajo,elevado,si,6,50,medio,si,1,elevado,elevado,publico,negativo,2,no,preparatoria,lejano,hombre,66
17,94,medio,elevado,no,6,80,elevado,si,0,medio,bajo,privado,neutral,1,no,universidad,cercano,hombre,69
23,98,medio,bajo,si,8,71,medio,si,0,elevado,elevado,publico,positivo,5,no,preparatoria,moderado,hombre,72
17,80,bajo,elevado,no,8,88,medio,no,4,medio,elevado,privado,neutral,4,no,universidad,moderado,hombre,68
17,97,medio,elevado,si,6,87,bajo,si,2,bajo,elevado,privado,neutral,2,no,preparatoria,cercano,hombre,71
21,83,medio,bajo,si,8,97,bajo,si,2,medio,bajo,publico,positivo,4,no,preparatoria,cercano,hombre,70
9,82,medio,bajo,si,8,72,medio,si,2,medio,bajo,privado,positivo,3,no,posgrado,cercano,hombre,66
10,78,medio,elevado,si,8,74,medio,si,1,bajo,medio,privado,neutral,4,no,posgrado,cercano,hombre,65
17,68,medio,bajo,no,8,70,medio,si,2,medio,bajo,privado,positivo,4,no,preparatoria,cercano,mujer,64
14,60,medio,bajo,si,10,65,bajo,si,0,elevado,medio,privado,positivo,3,no,universidad,cercano,hombre,60
22,70,bajo,medio,si,6,82,medio,si,1,bajo,elevado,publico,neutral,3,no,preparatoria,cercano,mujer,65
15,80,medio,bajo,si,9,91,bajo,si,3,bajo,medio,publico,positivo,2,no,universidad,moderado,mujer,67
12,75,medio,elevado,si,7,58,medio,si,3,medio,bajo,privado,positivo,4,no,universidad,cercano,hombre,66
29,78,medio,bajo,no,5,99,elevado,si,0,elevado,medio,publico,negativo,1,no,preparatoria,moderado,mujer,69
19,99,medio,elevado,no,6,84,medio,si,1,medio,elevado,publico,neutral,3,no,preparatoria,cercano,hombre,72
20,74,medio,elevado,no,8,89,bajo,si,1,medio,bajo,publico,negativo,2,no,universidad,moderado,mujer,66
11,78,elevado,medio,si,8,100,elevado,si,1,bajo,medio,publico,neutral,3,no,preparatoria,moderado,hombre,66
17,65,bajo,elevado,si,5,75,medio,si,2,bajo,medio,publico,positivo,3,no,preparatoria,cercano,mujer,63
21,62,elevado,bajo,si,6,54,elevado,si,0,elevado,elevado,publico,positivo,3,no,posgrado,lejano,hombre,64
13,91,bajo,medio,no,6,90,medio,si,1,elevado,medio,publico,negativo,2,si,preparatoria,moderado,mujer,65
22,83,elevado,elevado,si,6,94,medio,si,0,elevado,medio,publico,neutral,2,no,universidad,moderado,hombre,71
16,90,medio,bajo,no,4,58,medio,si,1,bajo,medio,publico,neutral,3,no,preparatoria,moderado,mujer,66
18,66,elevado,elevado,no,4,51,bajo,si,2,bajo,medio,privado,neutral,2,no,universidad,cercano,hombre,64
16,83,bajo,medio,no,6,57,medio,si,0,elevado,bajo,publico,positivo,4,si,preparatoria,cercano,mujer,63
31,70,medio,elevado,si,7,66,medio,si,1,elevado,medio,publico,negativo,3,no,universidad,cercano,hombre,69
20,69,medio,bajo,si,8,96,medio,si,2,medio,elevado,publico,positivo,3,no,preparatoria,cercano,hombre,67
14,60,elevado,medio,no,5,50,medio,si,2,medio,bajo,publico,neutral,3,no,universidad,,mujer,61
25,65,elevado,medio,no,5,90,medio,si,2,medio,bajo,publico,positivo,3,no,universidad,moderado,mujer,68
13,72,bajo,medio,no,6,93,bajo,si,1,bajo,medio,publico,negativo,3,no,preparatoria,cercano,hombre,61
21,65,medio,bajo,si,7,91,bajo,si,2,medio,elevado,publico,positivo,3,no,preparatoria,lejano,mujer,64
8,99,medio,bajo,no,9,54,bajo,si,2,bajo,medio,publico,neutral,5,no,posgrado,cercano,mujer,67
12,72,bajo,medio,si,8,84,medio,si,1,bajo,medio,publico,positivo,5,no,preparatoria,cercano,mujer,63
21,65,bajo,medio,si,6,98,bajo,si,1,medio,elevado,publico,negativo,4,no,preparatoria,cercano,hombre,64
24,68,elevado,medio,no,8,56,bajo,si,3,elevado,elevado,publico,neutral,1,no,universidad,cercano,hombre,67
21,84,medio,bajo,si,6,52,bajo,si,1,medio,elevado,publico,neutral,2,si,universidad,lejano,mujer,65
19,63,bajo,elevado,no,7,94,medio,si,1,medio,bajo,privado,positivo,3,no,preparatoria,moderado,hombre,64
18,94,medio,elevado,si,7,82,medio,si,3,medio,bajo,privado,negativo,2,si,universidad,cercano,hombre,70
11,98,medio,bajo,si,9,82,bajo,si,1,medio,bajo,privado,positivo,3,no,posgrado,lejano,hombre,68
16,70,medio,bajo,si,8,98,medio,si,2,medio,bajo,publico,positivo,3,no,preparatoria,moderado,hombre,65
17,78,medio,bajo,si,6,88,medio,si,1,medio,elevado,privado,positivo,3,no,universidad,cercano,mujer,68
26,61,medio,bajo,si,6,70,medio,si,2,bajo,medio,publico,positivo,3,no,preparatoria,moderado,mujer,64
22,86,bajo,medio,si,7,72,bajo,si,3,bajo,elevado,publico,positivo,2,no,preparatoria,moderado,hombre,68
9,77,medio,bajo,no,5,57,medio,si,2,medio,elevado,publico,neutral,3,no,preparatoria,cercano,hombre,63
22,71,bajo,medio,si,7,65,bajo,si,1,medio,bajo,publico,positivo,4,no,universidad,moderado,hombre,64
18,68,elevado,medio,no,7,72,medio,si,0,medio,bajo,publico,neutral,3,no,universidad,cercano,hombre,64
16,86,bajo,medio,si,8,63,medio,si,2,medio,bajo,publico,positivo,4,no,preparatoria,cercano,hombre,67
24,77,elevado,bajo,no,8,96,medio,si,0,medio,bajo,publico,neutral,3,no,preparatoria,cercano,mujer,67
26,67,medio,elevado,si,7,51,bajo,si,2,elevado,elevado,privado,neutral,4,si,posgrado,lejano,mujer,66
26,88,medio,elevado,si,5,79,medio,si,1,bajo,elevado,privado,positivo,4,no,universidad,moderado,hombre,72
15,83,medio,elevado,no,5,89,bajo,no,1,medio,elevado,publico,neutral,2,si,preparatoria,cercano,mujer,65
18,94,medio,bajo,si,6,87,elevado,si,1,medio,bajo,publico,positivo,4,no,preparatoria,cercano,hombre,71
22,65,elevado,bajo,no,8,82,medio,si,2,medio,elevado,publico,positivo,1,no,posgrado,cercano,mujer,66
26,91,medio,bajo,si,8,71,medio,si,0,bajo,medio,privado,neutral,3,no,preparatoria,moderado,hombre,68
17,87,medio,bajo,no,7,96,medio,si,1,elevado,medio,publico,negativo,5,no,posgrado,cercano,mujer,70
19,65,medio,bajo,si,10,66,bajo,si,0,bajo,medio,publico,positivo,3,no,preparatoria,moderado,hombre,62
13,88,bajo,elevado,si,9,88,elevado,si,2,bajo,elevado,privado,negativo,4,no,posgrado,lejano,hombre,68
13,78,medio,elevado,si,9,96,elevado,si,2,bajo,medio,publico,neutral,3,no,universidad,moderado,hombre,67
