Hospital,Alternative Name,Address,Address 1,Address 2,City,State,Zip,Hospital Website,Latitude,Longitude,Caring System,Funding,Type,Affiliation,Beds,Regular Beds,NICU Beds,Opened,Pediatric Trauma Level,NICU Level,Ranked Specialties,Wikipedia Source
Children's Hospital of Nevada,,"800 Hope Pl, Las Vegas, NV 89106",800 Hope Pl,, Las Vegas,NV,89106,http://www.chnv.org/,36.1609366,-115.168258,,,,,77,,,,Level II Pediatric,3,,https://en.wikipedia.org/w/index.php?title=AnMed_Health_Women%27s_and_Children%27s_Hospital&action=edit&redlink=1
Phoenix Children's Hospital,,"1919 E. Thomas Rd., Phoenix, AZ 85016",1919 E. Thomas Rd.,, Phoenix,AZ,85016,http://www.phoenixchildrens.org/,33.4787437,-112.0409545,,,,,457,,,,Level I Pediatric,3,10,https://en.wikipedia.org/w/index.php?title=Baystate_Children%27s_Hospital&action=edit&redlink=1
AnMed Health Women's and Children's Hospital,,"2000 E Greenville St, Anderson, SC 29621",2000 E Greenville St,, Anderson,SC,29621,https://anmedhealth.org/services/womens-care,34.5455558,-82.629014,,,,,72,,,,,,,https://en.wikipedia.org/w/index.php?title=Blank_Children%27s_Hospital&action=edit&redlink=1
Jeff Gordon's Children's Hospital,,"920 Church St N, Concord, NC 28025",920 Church St N,, Concord,NC,28025,https://atriumhealth.org/medical-services/childrens-services/jeff-gordon-childrens-center,35.4380048,-80.6009469,,,,,,,,,,3,,https://en.wikipedia.org/w/index.php?title=Bronson_Methodist_Children%27s_Health&action=edit&redlink=1
Levine Children's Hospital,,"1000 Blythe Blvd, Charlotte, NC 28203",1000 Blythe Blvd,, Charlotte,NC,28203,https://atriumhealth.org/medical-services/childrens-services/levine-childrens-hospital,35.2034162,-80.8385574,,,,,236,,,,Level I Pediatric,3,8,https://en.wikipedia.org/w/index.php?title=CAMC_Women_and_Children%27s_Hospital&action=edit&redlink=1
St. Joseph's Children's Hospital,,"3001 W Dr Martin Luther King Jr Blvd, Tampa, FL 33614",3001 W Dr Martin Luther King Jr Blvd,, Tampa,FL,33614,https://baycare.org/hospitals/st-josephs-childrens-hospital/patients-and-visitors,27.9820619,-82.4921115,,,,,218,,,,,3,,https://en.wikipedia.org/w/index.php?title=Cardon_Children%27s_Medical_Center&action=edit&redlink=1
University of Virginia Children's Hospital,,"1215 Lee St, Charlottesville, VA 22903",1215 Lee St,, Charlottesville,VA,22903,https://childrens.uvahealth.com/,38.0320013,-78.4986857,,,,,111,,,,,4,5,https://en.wikipedia.org/w/index.php?title=Carilion_Clinic_Children%27s_Hospital&action=edit&redlink=1
West Virginia University Children's Hospital,,"1 Medical Center Dr, Morgantown, WV 26506",1 Medical Center Dr,, Morgantown,WV,26506,https://childrens.wvumedicine.org/,39.6539294,-79.9584129,,,,,105,,,,Level II Pediatric,4,1,https://en.wikipedia.org/w/index.php?title=Children%27s_Hospital_of_Nevada&action=edit&redlink=1
Steven and Alexandra Cohen Children's Medical Center of New York,,"269-01 76th Ave, Queens, NY 11040",269-01 76th Ave,, Queens,NY,11040,https://childrenshospital.northwell.edu/?utm_source=provider_listing&utm_medium=partner&utm_campaign=doctor_dot_com,40.7534275,-73.7082019,,,,,146,,,,Level I Pediatric,4,9,https://en.wikipedia.org/w/index.php?title=Children%27s_Hospital_of_San_Antonio&action=edit&redlink=1
The Children's Hospital at The Medical Center of Central Georgia,,"888 Pine St, Macon, GA 31201",888 Pine St,, Macon,GA,31201,https://childrenshospitalnh.org/,32.8347369,-83.6365472,,,,,73,,,,,3,,https://en.wikipedia.org/w/index.php?title=Children%27s_Hospital_of_Wisconsin-Fox_Valley&action=edit&redlink=1
